Name,Overall,Value
 M. Adams,64,€675K
 M. Kenlock,67,€1.1M
 M. Heerkes,61,€275K
 W. González,73,€6M
 N. Ampomah,70,€2.5M
 J. Meredith,70,€1.3M
 R. Genevois,73,€3.1M
 A. Katrich,66,€875K
 S. Luštica,63,€425K
 A. Akaichi,69,€1.1M
 C. Candido,65,€750K
 D. Kinsombi,68,€1.1M
 D. Gordon,69,€600K
 A. Forde,64,€575K
 S. Habergham,62,€325K
 L. Franco,59,€200K
 B. McNamee,64,€575K
 A. Dźwigała,63,€450K
 Nito Carbelho,65,€600K
 K. Etuhu,61,€240K
 Lasure,67,€900K
 C. Harold,62,€375K
 V. Lampropoulos,69,€875K
 R. Pich,69,€1.1M
 S. Al Qumayzi,64,€400K
 P. Jansson,76,€7.5M
 J. Mensah,70,€1.7M
 R. Dow,64,€525K
 J. Rafferty,66,€725K
 R. Eckardt,66,€675K
 S. Pinas,63,€575K
 Y. M'Boné,65,€625K
 Nacho,67,€975K
 D. Buffonge,62,€625K
 P. Itter,60,€240K
 P. Ulvestad,63,€350K
 L. Tonelli,77,€8.5M
 P. Arce,64,€575K
 David Bruno,67,€800K
 E. Jónsson,63,€300K
 Y. Kakitani,70,€1.9M
 B. Wright,72,€3.6M
 J. Cortizo,60,€300K
 Pina,66,€350K
 I. Traoré,75,€4.9M
 K. Savichev,66,€950K
 D. Starkl,64,€600K
 Jeong Hyun Cheol,65,€700K
 H. Aiesh,66,€875K
 C. Smith,61,€300K
 K. Wriedt,67,€1M
 L. Mothiba,70,€2.9M
 S. Palitsevich,73,€3.4M
 N. Granatowski,65,€625K
 L. Perdomo,66,€925K
 J. Wawrzyniak,64,€170K
 David Fernández,70,€1M
 C. Weston,58,€120K
 B. Al Seliteen,63,€425K
 B. Borrello,67,€1M
 A. Cocco,67,€675K
 W. Orban,80,€15.5M
 L. Fröde,68,€1.1M
 G. Díaz,68,€950K
 E. Agüero,62,€450K
 T. Kløve,65,€575K
 A. Andersson,57,€140K
 Luisinho,68,€950K
 D. Brown,68,€1.1M
 L. Díaz,70,€3.2M
 Maurício,74,€5.5M
 A. Laukart,63,€650K
 D. Gómez,67,€775K
 S. Breitkreuz,69,€1.1M
 A. Niane,73,€5M
 D. Murillo,67,€850K
 E. Ramírez,64,€825K
 S. Ugarković,65,€625K
 J. Menéndez,68,€1.2M
 A. Wan-Bissaka,65,€1M
 L. Benegas,70,€1.8M
 P. Retsos,74,€8M
 Edgar Hernández,67,€725K
 D. Cataño,69,€1.3M
 A. Brosque,68,€550K
 K. Dennis,64,€475K
 A. Çeviker,64,€425K
 J. Molangoane,68,€875K
 Fran Rodríguez,68,€975K
 W. Lautoa,72,€2.4M
 B. Close,64,€800K
 J. Rodríguez,61,€325K
 N. Onuoha,69,€775K
 R. Lambe,63,€400K
 T. Kanamori,64,€625K
 M. Sepúlveda,64,€800K
 M. Figueroa,66,€675K
 G. Zelalem,65,€875K
 R. Sandoval,65,€825K
 Ary Papel,65,€750K
 F. Palacios Martínez,65,€750K
 Máyor,70,€1.1M
 K. McHattie,63,€425K
 Jardel,80,€10M
 C. Dunne,65,€575K
 J. Bela,68,€1.1M
 T. De Sutter,68,€800K
 M. Škrtel,81,€10M
 D. Watts,64,€875K
 Kiko Olivas,73,€3.2M
 T. Casasola,68,€1.1M
 B. Hübner,79,€10.5M
 M. Albornoz,61,€200K
 Fabiano Sonta,73,€3.5M
 G. Shoji,73,€4.5M
 F. Raspentino,68,€925K
 S. Bell,76,€8M
 G. Papunashvili,68,€1.4M
 T. Bradshaw,69,€1.4M
 S. Dursun,69,€1.1M
 J. Shipley,59,€325K
 Ahn Yong Woo,64,€525K
 C. Lindquist,62,€375K
 A. Al Zori,66,€475K
 B. Yıldız,66,€850K
 O. Käuper,65,€925K
 C. Donaldson,68,€575K
 M. Correia,69,€850K
 J. Sabbatini,63,€350K
 R. Taylor,64,€450K
 Y. Njie,67,€1M
 Kevin,65,€600K
 S. Ingelsson,66,€1.1M
 U. Cardona,66,€950K
 M. Pearson,66,€725K
 Roberson,68,€925K
 R. Jackson,64,€425K
 P. Hoffmann,65,€675K
 A. Kawamoto,62,€325K
 A. Larriere,61,€350K
 N. Ishihara,65,€425K
 G. Perrin,63,€625K
 M. Tonge,62,€150K
 C. Hérelle,70,€2M
 S. Tanser,61,€275K
 E. Håland,67,€1.5M
 E. Elmas,66,€1.1M
 A. Djabou,69,€1M
 S. Santoro,56,€180K
 Kim Yong Hwan,66,€700K
 M. Sao,66,€675K
 A. Ludwig,62,€180K
 R. Jaadi,64,€600K
 A. Costa,73,€2.7M
 T. Rühle,66,€700K
 E. Digbeu,65,€550K
 E. Dening,68,€900K
 F. Sucsuz,61,€400K
 B. Rymaniak,66,€525K
 Martín,71,€3.3M
 M. Lugo,65,€550K
 T. Zhamaletdinov,67,€1.3M
 Jefferson Santos,70,€1.8M
 H. Kane,61,€525K
 Zizo,66,€900K
 E. El Id,66,€950K
 F. Cassata,69,€1.7M
 T. Denton,62,€450K
 N. Mezquida,65,€650K
 K. Matsubara,65,€650K
 F. Ali,61,€300K
 Diego González,73,€5M
 H. Gómez,64,€475K
 L. Béland-Goyette,60,€275K
 Fran Sol,71,€3M
 Monchu,63,€625K
 T. Derijck,71,€1.8M
 R. Holding,73,€5.5M
 W. Keane,67,€1M
 D. Cawley,59,€190K
 M. Caruzzo,75,€3.8M
 N. Sánchez,74,€3.8M
 O. Abdulaziz,64,€180K
 L. Cadamuro,67,€575K
 H. Wolf,66,€1.3M
 A. Rozzi,64,€600K
 Y. Iwakami,65,€575K
 D. MacKinnon,63,€250K
 Y. Barnawi,65,€575K
 K. Cissé,67,€800K
 N. Mihajlović,70,€2.5M
 M. Woolford,63,€325K
 M. Matras,68,€900K
 Albizua,72,€2.8M
 J. Hernández,63,€525K
 M. Massop,68,€975K
 T. Høgli,66,€250K
 S. Cetin,59,€300K
 Dani Calvo,72,€3.4M
 F. Meza,71,€2.3M
 D. Suga,60,€275K
 Adão Morrinhos,68,€1M
 O. Fernández,67,€975K
 Hugo Seco,67,€750K
 D. Astori,81,€13M
 M. Zaccagni,68,€1.4M
 J. Kayembe,68,€1.2M
 R. Boujedra,64,€600K
 S. Lewerenz,67,€825K
 F. Grillo,65,€575K
 C. Gribbin,64,€925K
 J. Stacey,61,€325K
 C. Marshall,72,€1.8M
 B. Purrington,62,€375K
 C. Chiricò,67,€900K
 Jung Jo Gook,69,€650K
 M. Veenhoven,61,€300K
 Jung Seung Yong,65,€525K
 M. Camara,62,€600K
 Sarsanedas,64,€900K
 J. Cano,66,€675K
 Sergi Guardiola,70,€2.1M
 A. Örn Arnarson,62,€350K
 Y. Al Salem,65,€425K
 J. Rivierez,70,€1.4M
 L. Castro,70,€2.3M
 G. Saunders,66,€525K
 J. Rothwell,60,€325K
 A. Rogie,63,€450K
 C. Højer Nielsen,60,€275K
 K. N'Doram,70,€2.4M
 Jesús Valentín,67,€825K
 R. McKenzie,65,€750K
 L. Dos Santos,65,€575K
 J. Riedel,67,€825K
 D. Granli,62,€375K
 Manu Morlanes,61,€400K
 Nadjack,65,€650K
 B. Bronico,62,€425K
 J. McGrath,62,€575K
 J. Horn,68,€1.3M
 N. Dibble,68,€1.5M
 E. Berggreen,71,€3.2M
 T. Sana,63,€400K
 A. Gruber,65,€750K
 D. Batallini,63,€600K
 A. Green,68,€1.8M
 B. Tabla,63,€750K
 L. Veldwijk,69,€1.3M
 S. Sinovic,66,€475K
 I. Firer,69,€850K
 K. Adénon,72,€2.1M
 L. Jeréz Silva,61,€200K
 S. Sakala,64,€675K
 I. Petryak,69,€1.4M
 T. Goppel,61,€425K
 F. Dagerstål,66,€825K
 U. Vitas,69,€1.2M
 L. Gülen,69,€1.2M
 J. Lopez,65,€600K
 G. Kashia,76,€6M
 K. Dobras,64,€575K
 A. Hrustic,66,€1M
 Tano Bonnin,73,€3.9M
 M. Söderqvist,64,€625K
 K. Appiah,65,€600K
 D. Badji,68,€1.2M
 M. El Monir,70,€1.8M
 Hedson Porfírio,68,€875K
 A. Šćekić,68,€925K
 A. Esaka,68,€1.1M
 L. Kryger,63,€190K
 V. Lia,63,€210K
 M. Arrufe,68,€875K
 E. Hewitt,62,€400K
 J. Buyla,60,€350K
 G. Chakvetadze,69,€2.1M
 M. Al Kuwaykibi,66,€900K
 E. Onuachu,68,€1.2M
 Genaro,61,€400K
 J. Campuzano,66,€1.1M
 A. Sissako,61,€525K
 B. Darri,69,€1.4M
 M. Mellado,63,€475K
 K. Dankowski,60,€300K
 O. Stijepović,64,€875K
 Y. Rivera,66,€650K
 D. Prokop,65,€1M
 D. Moberg Karlsson,68,€1.2M
 D. Mignanelli,66,€725K
 M. Rasmussen,59,€240K
 O. George,63,€425K
 F. Amorebieta,76,€4.4M
 J. Reimerink,65,€575K
 J. Tah,82,€26M
 C. Dagnall,67,€675K
 F. Duplus,65,€450K
 Marlinito Dias,69,€425K
 E. Bonifacio,66,€750K
 A. Todorovski,63,€140K
 R. Scheu,64,€625K
 R. Seuntjens,66,€650K
 F. Tchenkoua,64,€575K
 M. Compper,74,€3.2M
 J. Mora,63,€350K
 T. Piermayr,60,€210K
 G. Wojtkowiak,66,€250K
 J. Verhoek,68,€925K
 C. Strandberg,72,€4.3M
 S. Lundholm,64,€600K
 C. Rivera,63,€500K
 M. Ndoye,66,€775K
 D. Mihailovic,62,€500K
 S. Thioub,66,€950K
 P. Kpozo,62,€350K
 Rayco,62,€475K
 H. Osorio,68,€900K
 K. Nakamachi,67,€525K
 J. Vall,56,€90K
 D. Gorman,57,€160K
 Lourival Dinisco,70,€1.4M
 O. García,65,€700K
 N. Backman,67,€625K
 O. Taşdelen,63,€275K
 K. Walker-Peters,66,€1.3M
 M. Al Qarni,64,€375K
 J. Houghton,61,€400K
 F. Depaoli,65,€1M
 A. Díaz,65,€775K
 V. Alvarado,67,€850K
 N. Citro,68,€925K
 Q. Amarikwa,66,€650K
 B. Miele,60,€300K
 C. Kouamé,70,€3.8M
 L. Sörensen,62,€550K
 Adnan Vidual,65,€475K
 R. Peiponen,63,€425K
 L. Galeano,70,€2M
 K. Biliński,67,€750K
 D. Gustavsson,66,€700K
 Wellington,69,€1.3M
 Jung Seon Ho,61,€200K
 G. Edwards,66,€825K
 J. Hoffmann,61,€375K
 N. Dumitru,67,€825K
 L. Juliš,67,€1.2M
 Yohan Tavares,73,€3.1M
 K. Manolas,85,€38.5M
 K. Staude,67,€1.2M
 F. Mancinelli,70,€425K
 J. Velázquez,71,€2.4M
 S. Kroon,66,€825K
 R. Brindley,64,€450K
 D. Nounkeu,70,€1.2M
 N. Brandenburger,62,€350K
 C. Mosca,62,€325K
 C. Vargas,66,€900K
 F. Affolter,65,€475K
 S. Elbers,68,€1.1M
 R. Rubin,66,€950K
 L. Dodds,62,€300K
 L. Rath,64,€450K
 B. Enobakhare,66,€1.4M
 Lee Jae Sung,72,€2.5M
 A. Gersbach,65,€750K
 L. Quezada,64,€725K
 A. Semenov,74,€5M
 J. Tomkins,78,€9.5M
 Mateus,62,€400K
 E. Gutiérrez,65,€475K
 D. Bektic,61,€350K
 P. Ngawa,67,€800K
 S. Tarashaj,68,€1.3M
 W. Meyiwa,63,€725K
 T. Siedschlag,63,€350K
 M. Amundsen,64,€525K
 Mauro Júnior,69,€2.2M
 F. Melegoni,63,€750K
 P. Madden,65,€575K
 Y. En-Nesyri,71,€3.4M
 T. Lorch,65,€750K
 M. Vlap,69,€1.7M
 Rodrigo Moledo,77,€7M
 K. Belmar,63,€475K
 D. Talbot,61,€180K
 M. Pourié,68,€975K
 J. Cano,67,€220K
 M. Sax,67,€975K
 M. Pinto,64,€525K
 C. Byrne,64,€400K
 C. Robles,68,€975K
 B. Hines-Ike,66,€750K
 M. Novak,63,€350K
 Postigo,74,€5M
 M. Hofrath,65,€575K
 J. Ruiz,69,€1.4M
 Gilson Costa,65,€775K
 D. Koukou,63,€350K
 L. Dyer,66,€325K
 J. Ramis,67,€800K
 A. Gérard,65,€700K
 B. Sanneh,69,€1.6M
 J. Bruijn,63,€525K
 Fran Villalba,70,€2.8M
 T. Zündel,61,€250K
 Kilian Grant,64,€650K
 M. Palienko,60,€300K
 Everaldo,68,€1.1M
 Villiam Moraes,66,€475K
 A. Hainault,66,€425K
 M. Kupczak,64,€475K
 A. Dimidko,67,€525K
 Luís Machado,67,€975K
 Àlex Corredera,65,€875K
 D. Oduro,62,€275K
 T. Thelin,67,€475K
 F. Grahl,63,€450K
 Kwak Hae Seong,65,€550K
 M. Cortés,64,€220K
 D. Mayor,65,€575K
 José Carlos,61,€400K
 M. Stiefler,66,€650K
 I. Alba,60,€220K
 R. Willmott,61,€210K
 M. Nkololo,66,€850K
 R. Baku,59,€325K
 G. Lódico,62,€650K
 J. Leiva,65,€750K
 S. Duffy,76,€8.5M
 K. Bare,64,€850K
 K. Ellison,58,€35K
 Brian Martín,65,€875K
 I. Lapshov,66,€925K
 D. Samuel,66,€925K
 F. Arce,60,€325K
 G. Ortíz,74,€6.5M
 Álex Collado,62,€625K
 W. Kanon,72,€3.4M
 V. Müller,61,€475K
 S. Hogan,71,€3M
 A. Wilkinson,71,€1.4M
 M. Barreto,66,€700K
 L. Grozurek,65,€650K
 M. Inoha,66,€425K
 W. Droste,68,€700K
 Toño Calvo,62,€525K
 S. Whalley,67,€750K
 M. Sauer,66,€725K
 A. Egorychev,61,€325K
 S. N'Guessan,66,€925K
 J. Vansteenkiste,65,€575K
 H. El Sayed,66,€675K
 A. Módula,61,€275K
 Víctor López,63,€625K
 J. Terry,76,€1M
 F. Černych,70,€1.9M
 P. Muñoz,66,€575K
 N. Besler,65,€625K
 J. Lowe,68,€1.4M
 Gabrielzinho,68,€1.3M
 A. Brighenti,68,€900K
 B. Ould-Chikh,65,€850K
 W. Thomas,67,€725K
 D. Joel,70,€2.3M
 J. Dodoo,66,€1M
 Júnior Negão,66,€625K
 M. Marić,69,€425K
 D. Geiger,70,€3.3M
 M. Abdellaoue,66,€675K
 S. Sukharev,66,€475K
 K. Nagato,63,€500K
 Lee You Hyeon,64,€725K
 R. Allen,64,€375K
 P. Konate,67,€850K
 K. Árnason,69,€325K
 Francisco Afonso,65,€675K
 I. Konovalov,61,€425K
 Tomás Nuninho,65,€220K
 B. Moloney,65,€425K
 G. Togni,65,€1.2M
 J. Welsh,68,€375K
 Davi Parrela,75,€5M
 L. Balanta,68,€750K
 M. Mikovič,65,€575K
 F. Brustad,64,€450K
 F. Tait,71,€3M
 M. Hohnstedt,63,€275K
 Crivellaro,68,€900K
 S. Ohawuchi,64,€475K
 R. Sigurðsson,72,€2.1M
 Felipe Saad,68,€375K
 B. Alston,63,€450K
 J. Deminguet,60,€325K
 C. Montano,62,€350K
 K. Djidji,74,€6M
 W. Saïd,69,€1.6M
 R. Gartler,66,€575K
 B. Camoglu,66,€950K
 E. Eze,64,€975K
 R. Sáez,63,€500K
 S. Rapp,67,€1M
 S. von Bergen,71,€725K
 J. McCrary,64,€500K
 V. Agardius,65,€450K
 E. Benavidez,63,€375K
 G. Merebashvili,65,€500K
 J. Augustinsson,65,€675K
 J. Mehl,63,€350K
 F. Currimila,68,€350K
 Anselmo Meirás,68,€350K
 N. Seufert,64,€850K
 E. Osadebe,58,€170K
 K. Hause,67,€1.1M
 Kim Seon Woo,63,€450K
 S. Ayala,61,€325K
 Sergio Gómez,67,€1.5M
 N. Yamada,60,€220K
 H. Hauksson,63,€400K
 H. Radetinac,67,€675K
 Tarsi,64,€600K
 Alex Pozo,67,€1.2M
 J. Corrales,63,€350K
 M. Nys,60,€250K
 S. Perica,72,€4.4M
 M. Connolly,67,€575K
 G. Piesio,65,€550K
 N. Pedersen,68,€900K
 P. McShane,71,€1.6M
 E. Sánchez,61,€500K
 Pedro Mendes,76,€8M
 J. Hoffman,61,€250K
 Vieirundinho,76,€6M
 S. Takahashi,67,€625K
 F. Benko,61,€550K
 M. Dyrestam,67,€850K
 S. Spierings,66,€875K
 L. Owona,70,€1.8M
 J. Marriott,70,€2.7M
 C. Kouan,61,€500K
 Adriá Carmona,67,€900K
 Kike Barja,68,€1.3M
 J. Dem,63,€400K
 Jordi Mboula,68,€1.8M
 B. Pelé,68,€1.1M
 D. Dankerlui,64,€575K
 T. Efouba Ayissi,62,€425K
 J. Sartiaguin,62,€350K
 S. Sadzoute,61,€475K
 A. Danzi,63,€675K
 A. Sahibeddine,61,€350K
 R. Amaral,66,€1.2M
 J. Assoubre,68,€1.1M
 K. Larsen,66,€775K
 M. Udol,64,€600K
 T. Ogihara,63,€400K
 G. Kyei,69,€1.5M
 F. Dimarco,64,€875K
 J. Campbell-Ryce,65,€275K
 F. Ávila,64,€600K
 Tinga,63,€450K
 A. Ajeti,69,€1.5M
 K. Soni,64,€975K
 R. Fernández,68,€975K
 B. Bingham,60,€200K
 F. Escobar,66,€800K
 R. Grzelak,60,€160K
 G. Alcoba,72,€1.8M
 Q. Maceiras,61,€375K
 I. Melnikov,61,€375K
 A. Khagush,67,€550K
 M. Lovera,65,€1.1M
 M. Angha,66,€825K
 H. Dijkhuizen,64,€450K
 E. Serje,65,€650K
 A. Lioi,65,€975K
 M. Hornschuh,68,€900K
 Aridane,72,€2.8M
 C. Quaner,69,€1.3M
 L. Soares,62,€325K
 N. Leguizamón,70,€2.8M
 Tiago Galvão,67,€775K
 U. Demirok,74,€4.6M
 Vincente Dourado,67,€475K
 Fernandão,74,€5.5M
 Carlos Delgado,67,€750K
 Felipe Silva,70,€1.9M
 S. Cook,77,€8.5M
 A. Phillips,59,€180K
 A. Piccolo,68,€875K
 Delmás,68,€1.1M
 Maximiano,64,€575K
 J. Sims,68,€1.5M
 D. Philliskirk,61,€275K
 H. ter Avest,68,€1.1M
 Kim Hyeon Wook,61,€375K
 A. Araujo,68,€1.3M
 N. Albarracín,65,€750K
 L. Aveldaño,70,€1.2M
 J. De la Cuesta,68,€275K
 P. Mingoia,62,€325K
 B. Urbański,61,€525K
 M. Mlynikowski,63,€400K
 R. Al Ebrahim,63,€500K
 Duarte Valente,62,€425K
 S. Marzo,68,€850K
 M. Ardemagni,71,€2.3M
 W. Parra,59,€220K
 M. George,69,€1.5M
 Neto Borges,63,€500K
 J. Gélin,70,€2.5M
 J. Sandoval,64,€325K
 J. Stage,60,€375K
 C. Brunner,61,€300K
 R. Castelen,67,€375K
 R. Cota,63,€600K
 S. Campo,64,€775K
 D. Ball,65,€575K
 T. Mpati,65,€550K
 D. Frahn,67,€725K
 Oh Kwang Jin,60,€200K
 A. Hadouir,65,€275K
 L. Rossettini,76,€4.4M
 M. Schäffler,69,€1.1M
 J. Glesnes,69,€1.3M
 Hugo Goiteira,74,€5M
 G. Korte,66,€825K
 L. Young,61,€210K
 R. Harper,61,€500K
 C. Führich,63,€625K
 André Sousa,61,€425K
 S. Houston,61,€250K
 S. Nijland,66,€675K
 A. Kenyon,61,€250K
 Choi Bo Kyung,67,€600K
 D. Lukebakio,70,€2.8M
 K. Reid,64,€450K
 S. McConville,66,€650K
 A. Danch,67,€600K
 J. Martinez,65,€850K
 R. McEvoy,56,€100K
 J. Vuković,75,€5M
 R. Müller,65,€400K
 A. Baptiste,70,€1.2M
 M. Ali,63,€625K
 B. Kirsch,64,€725K
 T. Ambrose,69,€1.7M
 E. Robson,59,€275K
 Lee Jin Hyun,63,€575K
 P. Dimitriou,59,€45K
 J. Flannigan,62,€400K
 E. Ómarsson,65,€725K
 A. Tembeng,67,€800K
 Iuliano Alfaro,64,€450K
 E. Bičakčić,76,€7.5M
 F. Fendrich,64,€350K
 Kim In Seong,68,€950K
 A. Escoto,68,€1.2M
 B. Barker,68,€1.4M
 B. Baningime,64,€850K
 B. Rivero,65,€750K
 Denaldo Carneiro,72,€2.4M
 A. Benítez,61,€300K
 K. Piątek,68,€1.2M
 B. Kurz,62,€425K
 N. Haas,60,€350K
 A. Koura,69,€1.4M
 André Pinto,77,€7.5M
 O. Salinas,67,€750K
 D. Schmidt,69,€775K
 N. Süle,84,€36.5M
 K. Koulibaly,85,€40M
 S. Romero,65,€550K
 A. Karamanos,68,€1.1M
 D. Serna,64,€600K
 C. Nelson,66,€775K
 R. Dugalić,72,€3.5M
 Inácio,68,€1.2M
 J. Cejas,62,€650K
 K. Kanatsızkuş,70,€2.6M
 Hwang Ki Wook,67,€1.1M
 S. Blondelle,67,€525K
 Alex Robles,64,€825K
 F. Moufi,64,€575K
 H. Magnússon,69,€1.2M
 Jeong Jun Yeon,64,€375K
 M. Ullmann,65,€700K
 L. Castro,71,€2.4M
 A. Czerwiński,65,€600K
 S. Matuszek,66,€525K
 N. Spalek,66,€1.4M
 D. Lachman,68,€850K
 G. Jones,61,€325K
 S. Hain,69,€1.1M
 Kang Min Soo,68,€600K
 K. Bua,69,€1.4M
 E. Dacaj,61,€375K
 S. Szymański,66,€1.3M
 M. Papadopulos,65,€425K
 J. Montaño,60,€230K
 I. Ben Khemis,60,€325K
 Luismi,72,€3.5M
 M. Jahfali,74,€5.5M
 Álvaro Arencibia,64,€575K
 T. Obadeyi,64,€475K
 J. Oremo,64,€425K
 E. Shomurodov,64,€725K
 O. Özdemir,65,€625K
 M. Matsuhashi,62,€170K
 P. Parzyszek,68,€1.2M
 K. Wimmer,75,€7.5M
 D. Dumić,72,€3.3M
 A. Blondell,69,€1.5M
 T. Lee,64,€400K
 M. Schmerböck,65,€725K
 Pablo Martínez,62,€525K
 T. Boere,67,€1M
 T. Oude Kotte,62,€375K
 Marcelo,77,€7.5M
 Llorente,77,€7M
 Bae Il Hwan,64,€450K
 R. Boukari,65,€500K
 Kim Dae Gyeong,62,€325K
 L. Nestor,67,€700K
 Jose Emeirson,67,€825K
 H. Hosogai,62,€200K
 A. Nicholls,61,€250K
 W. Jidayi,62,€170K
 A. Barcham,64,€425K
 M. Schulz,64,€675K
 O. El Kabir,67,€900K
 B. Levis,58,€140K
 José Kanté,65,€650K
 B. Stokke,65,€600K
 R. Callachan,62,€425K
 A. Al Fahad,60,€250K
 C. Traoré,66,€625K
 D. Dražić,66,€1M
 PC,63,€425K
 J. Duverne,68,€1.2M
 D. Romney,69,€1.2M
 J. Ramírez,62,€650K
 B. Garnica,69,€1.5M
 V. Černý,69,€1.4M
 R. Vilchis,67,€800K
 Melvin Regalito,67,€825K
 Lee Dong Gook,69,€300K
 F. Hart,63,€300K
 M. Borgnino,65,€1.2M
 M. Wegner,63,€375K
 M. Costly,64,€575K
 C. Dessers,70,€2.4M
 N. Giménez,57,€160K
 S. Friede,59,€325K
 G. Campi,70,€1.8M
 M. Brečko,67,€300K
 A. Greene,60,€220K
 B. Fuller,62,€170K
 E. Velikonja,64,€475K
 G. Pacheco,65,€425K
 Riqui Puig,61,€500K
 F. Klos,71,€2.4M
 S. Furtado,64,€525K
 F. Uduokhai,75,€8.5M
 R. Shekari,62,€650K
 Miguel Cardoso,69,€1.5M
 Ricardo Costa,73,€550K
 Etxeita,78,€8M
 J. Löhmannsröben,65,€550K
 O. Duarte,68,€1.4M
 A. Höller,64,€350K
 Lucas Medeirão,68,€550K
 L. Cavallini,69,€1.4M
 C. Hudson-Odoi,63,€800K
 N. González,65,€1.2M
 B. Riveros,68,€1.7M
 F. Fazio,83,€19M
 Bastos,64,€475K
 G. Gope-Fenepej,65,€550K
 S. Zwierschitz,64,€425K
 Pol Valentín,64,€900K
 S. Al Dosari,60,€250K
 Luisão,78,€1.4M
 M. Diallo,63,€725K
 K. Boyd,70,€1.1M
 N. Meriz,67,€475K
 Y. Segawa,64,€600K
 N. Bungert,74,€4.2M
 Moon Seon Min,67,€825K
 A. Romero,63,€625K
 C. Davies,77,€5M
 R. Yamanaka,64,€500K
 D. Congré,73,€2.3M
 H. Artarslan,64,€475K
 B. Halliday,61,€325K
 M. Edwards,66,€1.5M
 J. Dongou Tsafack,67,€1.1M
 M. Fenger,69,€1.1M
 R. Thomas,78,€8M
 S. Lammers,69,€1.7M
 D. Batty,59,€300K
 Z. Gano,71,€3.1M
 J. Yaro,66,€725K
 Felipe,65,€600K
 A. Basta,63,€300K
 M. Janko,72,€1.6M
 T. Halilović,63,€550K
 D. Cox,64,€450K
 A. Hack,72,€3.6M
 E. Miller,65,€575K
 T. Arano,62,€400K
 O. Deschacht,71,€325K
 M. Zenteno,68,€375K
 J. Torres,61,€450K
 O. Ayık,63,€375K
 R. Guerra,64,€700K
 P. Koch,65,€525K
 K. Bartolec,62,€450K
 S. Edera,67,€1.3M
 T. Heintz,63,€575K
 M. Steinmann,64,€550K
 A. Ivan,63,€525K
 B. Edomwonyi,66,€925K
 L. Madej,61,€110K
 T. Röcher,68,€1.1M
 A. Ftinei,62,€375K
 G. Sandoval,66,€250K
 G. Perrulli,62,€240K
 I. Lores Varela,65,€650K
 N. Di Roberto,65,€475K
 André Sousa,63,€525K
 J. Melling,63,€375K
 A. Al Fahad,64,€475K
 J. Caicedo,69,€1.1M
 A. Verschueren,65,€625K
 L. Godoy,67,€900K
 J. Graham,66,€875K
 F. Henríquez,60,€275K
 A. Matusiwa,63,€550K
 D. Frattesi,63,€725K
 Juanjo,67,€600K
 N. Aliji,67,€850K
 L. Mousset,69,€1.6M
 P. Maphanga,65,€600K
 J. Nerwinski,67,€875K
 M. Fathi,67,€975K
 I. Al Maghrabi,63,€450K
 F. Maracchi,64,€450K
 F. Beijmo,67,€1.2M
 D. Gómez,64,€350K
 M. Tramoni,63,€725K
 J. Choplin,69,€600K
 H. Duman,56,€150K
 N. Gunnarsson,65,€550K
 S. Otsuki,61,€250K
 Ryu Seung Woo,64,€625K
 R. Framberger,67,€950K
 P. Cuadra,68,€1.5M
 R. Edwards,62,€425K
 T. Baumgartl,75,€8.5M
 S. Hoskins,63,€475K
 J. Parker,63,€450K
 K. Long,73,€3.5M
 A. Scifo,65,€400K
 C. Terzi,73,€1.6M
 E. Rexhbecaj,64,€775K
 G. Bouzoukis,61,€400K
 S. Lowry,68,€850K
 J. Zuluaga,67,€825K
 L. Nangis,69,€1.4M
 S. Brunstad Fet,61,€450K
 J. Kauko,67,€750K
 D. Contreras,62,€375K
 G. Freitas,60,€230K
 S. Bouhours,66,€475K
 I. Touré,60,€400K
 D. Etienne Jr.,66,€1M
 B. Barry,62,€325K
 C. Ekuban,66,€925K
 S. Jombati,63,€275K
 Z. Bytyqi,65,€1.2M
 M. Olunga,72,€4.4M
 F. Fumu Tamuzo,63,€525K
 T. Hiraoka,59,€230K
 C. Stanko,64,€500K
 S. Ay,70,€1.9M
 D. Delarge,69,€1.1M
 S. Vergini,72,€2.8M
 O. Haddadi,66,€675K
 J. Valencia,63,€775K
 D. Brooks,68,€1.9M
 Carlos Fernández,70,€2.9M
 B. Sørmo,63,€475K
 D. Pollet,69,€1.1M
 J. Grot,66,€900K
 R. Olsen,59,€120K
 A. Robles,67,€875K
 M. Çelik,67,€800K
 D. Olsson,62,€350K
 Edu Cortina,64,€975K
 J. Kabananga,69,€1.1M
 Y. Coulibaly,64,€575K
 Rolando,76,€5M
 E. Nouri,63,€240K
 S. Karamoko,63,€375K
 L. D'Ath,62,€375K
 Pablo Larrea,64,€625K
 M. McGuane,62,€575K
 R. Raveloson,60,€300K
 Fábio Ferreira,65,€550K
 R. Halliche,71,€1.8M
 G. Berthier,66,€1M
 D. Sysuev,67,€750K
 B. White,63,€525K
 G. Méndez,63,€575K
 T. Schulz,65,€300K
 D. Muñoz,66,€850K
 M. Cullen,62,€375K
 L. Chávez,61,€375K
 A. Deja,63,€500K
 L. Isgrove,67,€975K
 V. Muratori,69,€800K
 M. Bader,67,€975K
 Park Han Bin,66,€1.1M
 B. Srarfi,70,€2.8M
 A. Bischoff,66,€600K
 G. Müller,62,€180K
 Rafinha,63,€450K
 N. Zaytsev,69,€950K
 M. Mirić,64,€425K
